,date,region,sales
2297,2018-04-29,south,1593.0
2298,2018-04-29,east,1740.0
2299,2018-04-29,west,1638.0
2324,2018-04-30,north,1653.0
2325,2018-04-30,south,1590.0
2326,2018-04-30,east,1593.0
2327,2018-04-30,west,1602.0
2352,2018-05-01,north,1785.0
2353,2018-05-01,south,1764.0
2354,2018-05-01,east,1506.0
2355,2018-05-01,west,1536.0
2380,2018-05-02,north,1623.0
2381,2018-05-02,south,1674.0
2382,2018-05-02,east,1791.0
2383,2018-05-02,west,1653.0
2408,2018-05-03,north,1785.0
2409,2018-05-03,south,1569.0
2410,2018-05-03,east,1500.0
2411,2018-05-03,west,1770.0
2436,2018-05-04,north,1653.0
2437,2018-05-04,south,1590.0
2438,2018-05-04,east,1671.0
2439,2018-05-04,west,1629.0
2464,2018-05-05,north,1578.0
2465,2018-05-05,south,1665.0
2466,2018-05-05,east,1575.0
2467,2018-05-05,west,1587.0
2492,2018-05-06,north,1674.0
2493,2018-05-06,south,1785.0
2494,2018-05-06,east,1719.0
2495,2018-05-06,west,1617.0
2520,2018-05-07,north,1794.0
2521,2018-05-07,south,1563.0
2522,2018-05-07,east,1728.0
2523,2018-05-07,west,1740.0
2548,2018-05-08,north,1617.0
2549,2018-05-08,south,1650.0
2550,2018-05-08,east,1728.0
2551,2018-05-08,west,1635.0
2576,2018-05-09,north,1584.0
2577,2018-05-09,south,1647.0
2578,2018-05-09,east,1551.0
2579,2018-05-09,west,1512.0
2604,2018-05-10,north,1737.0
2605,2018-05-10,south,1551.0
2606,2018-05-10,east,1515.0
2607,2018-05-10,west,1716.0
2632,2018-05-11,north,1746.0
2633,2018-05-11,south,1677.0
2634,2018-05-11,east,1584.0
2635,2018-05-11,west,1617.0
2660,2018-05-12,north,1743.0
2661,2018-05-12,south,1533.0
2662,2018-05-12,east,1521.0
2663,2018-05-12,west,1578.0
2688,2018-05-13,north,1545.0
2689,2018-05-13,south,1713.0
2690,2018-05-13,east,1665.0
2691,2018-05-13,west,1644.0
2716,2018-05-14,north,1776.0
2717,2018-05-14,south,1560.0
2718,2018-05-14,east,1644.0
2719,2018-05-14,west,1503.0
2744,2018-05-15,north,1800.0
2745,2018-05-15,south,1758.0
2746,2018-05-15,east,1701.0
2747,2018-05-15,west,1671.0
2772,2018-05-16,north,1593.0
2773,2018-05-16,south,1617.0
2774,2018-05-16,east,1626.0
2775,2018-05-16,west,1629.0
2800,2018-05-17,north,1728.0
2801,2018-05-17,south,1506.0
2802,2018-05-17,east,1590.0
2803,2018-05-17,west,1626.0
2828,2018-05-18,north,1782.0
2829,2018-05-18,south,1572.0
2830,2018-05-18,east,1539.0
2831,2018-05-18,west,1509.0
2856,2018-05-19,north,1788.0
2857,2018-05-19,south,1713.0
2858,2018-05-19,east,1626.0
2859,2018-05-19,west,1629.0
2884,2018-05-20,north,1548.0
2885,2018-05-20,south,1716.0
2886,2018-05-20,east,1752.0
2887,2018-05-20,west,1638.0
2912,2018-05-21,north,1575.0
2913,2018-05-21,south,1671.0
2914,2018-05-21,east,1626.0
2915,2018-05-21,west,1572.0
2940,2018-05-22,north,1572.0
2941,2018-05-22,south,1569.0
2942,2018-05-22,east,1581.0
2943,2018-05-22,west,1521.0
2968,2018-05-23,north,1641.0
2969,2018-05-23,south,1692.0
2970,2018-05-23,east,1713.0
2971,2018-05-23,west,1563.0
2996,2018-05-24,north,1524.0
2997,2018-05-24,south,1533.0
2998,2018-05-24,east,1695.0
2999,2018-05-24,west,1533.0
3024,2018-05-25,north,1599.0
3025,2018-05-25,south,1665.0
3026,2018-05-25,east,1713.0
3027,2018-05-25,west,1644.0
3052,2018-05-26,north,1776.0
3053,2018-05-26,south,1530.0
3054,2018-05-26,east,1650.0
3055,2018-05-26,west,1512.0
3080,2018-05-27,north,1629.0
3081,2018-05-27,south,1707.0
3082,2018-05-27,east,1521.0
3083,2018-05-27,west,1761.0
3108,2018-05-28,north,1755.0
3109,2018-05-28,south,1659.0
3110,2018-05-28,east,1800.0
3111,2018-05-28,west,1539.0
3136,2018-05-29,north,1713.0
3137,2018-05-29,south,1752.0
3138,2018-05-29,east,1629.0
3139,2018-05-29,west,1635.0
3164,2018-05-30,north,1674.0
3165,2018-05-30,south,1701.0
3166,2018-05-30,east,1614.0
3167,2018-05-30,west,1794.0
3192,2018-05-31,north,1725.0
3193,2018-05-31,south,1659.0
3194,2018-05-31,east,1536.0
3195,2018-05-31,west,1620.0
3220,2018-06-01,north,1794.0
3221,2018-06-01,south,1623.0
3222,2018-06-01,east,1665.0
3223,2018-06-01,west,1671.0
3248,2018-06-02,north,1752.0
3249,2018-06-02,south,1707.0
3250,2018-06-02,east,1797.0
3251,2018-06-02,west,1668.0
3276,2018-06-03,north,1596.0
3277,2018-06-03,south,1503.0
3278,2018-06-03,east,1578.0
3279,2018-06-03,west,1680.0
3304,2018-06-04,north,1608.0
3305,2018-06-04,south,1683.0
3306,2018-06-04,east,1572.0
3307,2018-06-04,west,1656.0
3332,2018-06-05,north,1713.0
3333,2018-06-05,south,1698.0
3334,2018-06-05,east,1557.0
3335,2018-06-05,west,1782.0
3360,2018-06-06,north,1695.0
3361,2018-06-06,south,1680.0
3362,2018-06-06,east,1761.0
3363,2018-06-06,west,1659.0
3388,2018-06-07,north,1518.0
3389,2018-06-07,south,1572.0
3390,2018-06-07,east,1785.0
3391,2018-06-07,west,1557.0
3416,2018-06-08,north,1719.0
3417,2018-06-08,south,1677.0
3418,2018-06-08,east,1695.0
3419,2018-06-08,west,1602.0
3444,2018-06-09,north,1782.0
3445,2018-06-09,south,1773.0
3446,2018-06-09,east,1656.0
3447,2018-06-09,west,1665.0
3472,2018-06-10,north,1578.0
3473,2018-06-10,south,1641.0
3474,2018-06-10,east,1737.0
3475,2018-06-10,west,1557.0
3500,2018-06-11,north,1788.0
3501,2018-06-11,south,1677.0
3502,2018-06-11,east,1698.0
3503,2018-06-11,west,1728.0
3528,2018-06-12,north,1776.0
3529,2018-06-12,south,1551.0
3530,2018-06-12,east,1548.0
3531,2018-06-12,west,1542.0
3556,2018-06-13,north,1683.0
3557,2018-06-13,south,1683.0
3558,2018-06-13,east,1572.0
3559,2018-06-13,west,1683.0
3584,2018-06-14,north,1761.0
3585,2018-06-14,south,1668.0
3586,2018-06-14,east,1599.0
3587,2018-06-14,west,1593.0
3612,2018-06-15,north,1623.0
3613,2018-06-15,south,1737.0
3614,2018-06-15,east,1593.0
3615,2018-06-15,west,1788.0
3640,2018-06-16,north,1659.0
3641,2018-06-16,south,1641.0
3642,2018-06-16,east,1575.0
3643,2018-06-16,west,1611.0
3668,2018-06-17,north,1599.0
3669,2018-06-17,south,1530.0
3670,2018-06-17,east,1608.0
3671,2018-06-17,west,1626.0
3696,2018-06-18,north,1530.0
3697,2018-06-18,south,1707.0
3698,2018-06-18,east,1611.0
3699,2018-06-18,west,1635.0
3724,2018-06-19,north,1593.0
3725,2018-06-19,south,1749.0
3726,2018-06-19,east,1623.0
3727,2018-06-19,west,1608.0
3752,2018-06-20,north,1665.0
3753,2018-06-20,south,1659.0
3754,2018-06-20,east,1734.0
3755,2018-06-20,west,1557.0
3780,2018-06-21,north,1797.0
3781,2018-06-21,south,1587.0
3782,2018-06-21,east,1557.0
3783,2018-06-21,west,1542.0
3808,2018-06-22,north,1743.0
3809,2018-06-22,south,1797.0
3810,2018-06-22,east,1686.0
3811,2018-06-22,west,1683.0
3836,2018-06-23,north,1791.0
3837,2018-06-23,south,1554.0
3838,2018-06-23,east,1695.0
3839,2018-06-23,west,1566.0
3864,2018-06-24,north,1563.0
3865,2018-06-24,south,1623.0
3866,2018-06-24,east,1530.0
3867,2018-06-24,west,1662.0
3892,2018-06-25,north,1650.0
3893,2018-06-25,south,1602.0
3894,2018-06-25,east,1548.0
3895,2018-06-25,west,1623.0
3920,2018-06-26,north,1728.0
3921,2018-06-26,south,1533.0
3922,2018-06-26,east,1503.0
3923,2018-06-26,west,1629.0
3948,2018-06-27,north,1581.0
3949,2018-06-27,south,1659.0
3950,2018-06-27,east,1707.0
3951,2018-06-27,west,1665.0
3976,2018-06-28,north,1563.0
3977,2018-06-28,south,1638.0
3978,2018-06-28,east,1692.0
3979,2018-06-28,west,1503.0
4004,2018-06-29,north,1686.0
4005,2018-06-29,south,1764.0
4006,2018-06-29,east,1629.0
4007,2018-06-29,west,1779.0
4032,2018-06-30,north,1554.0
4033,2018-06-30,south,1653.0
4034,2018-06-30,east,1515.0
4035,2018-06-30,west,1557.0
4060,2018-07-01,north,1746.0
4061,2018-07-01,south,1671.0
4062,2018-07-01,east,1716.0
4063,2018-07-01,west,1554.0
4088,2018-07-02,north,1695.0
4089,2018-07-02,south,1611.0
4090,2018-07-02,east,1680.0
4091,2018-07-02,west,1671.0
4116,2018-07-03,north,1644.0
4117,2018-07-03,south,1638.0
4118,2018-07-03,east,1623.0
4119,2018-07-03,west,1515.0
4144,2018-07-04,north,1743.0
4145,2018-07-04,south,1587.0
4146,2018-07-04,east,1764.0
4147,2018-07-04,west,1572.0
4172,2018-07-05,north,1752.0
4173,2018-07-05,south,1647.0
4174,2018-07-05,east,1575.0
4175,2018-07-05,west,1500.0
4200,2018-07-06,north,1743.0
4201,2018-07-06,south,1566.0
4202,2018-07-06,east,1758.0
4203,2018-07-06,west,1689.0
4228,2018-07-07,north,1776.0
4229,2018-07-07,south,1770.0
4230,2018-07-07,east,1695.0
4231,2018-07-07,west,1566.0
4256,2018-07-08,north,1623.0
4257,2018-07-08,south,1776.0
4258,2018-07-08,east,1515.0
4259,2018-07-08,west,1761.0
4284,2018-07-09,north,1623.0
4285,2018-07-09,south,1788.0
4286,2018-07-09,east,1542.0
4287,2018-07-09,west,1515.0
4312,2018-07-10,north,1794.0
4313,2018-07-10,south,1794.0
4314,2018-07-10,east,1755.0
4315,2018-07-10,west,1761.0
4340,2018-07-11,north,1605.0
4341,2018-07-11,south,1569.0
4342,2018-07-11,east,1638.0
4343,2018-07-11,west,1677.0
4368,2018-07-12,north,1593.0
4369,2018-07-12,south,1500.0
4370,2018-07-12,east,1539.0
4371,2018-07-12,west,1719.0
4396,2018-07-13,north,1749.0
4397,2018-07-13,south,1596.0
4398,2018-07-13,east,1680.0
4399,2018-07-13,west,1509.0
4424,2018-07-14,north,1500.0
4425,2018-07-14,south,1653.0
4426,2018-07-14,east,1620.0
4427,2018-07-14,west,1575.0
4452,2018-07-15,north,1737.0
4453,2018-07-15,south,1713.0
4454,2018-07-15,east,1698.0
4455,2018-07-15,west,1539.0
4480,2018-07-16,north,1773.0
4481,2018-07-16,south,1707.0
4482,2018-07-16,east,1554.0
4483,2018-07-16,west,1515.0
4508,2018-07-17,north,1551.0
4509,2018-07-17,south,1566.0
4510,2018-07-17,east,1788.0
4511,2018-07-17,west,1614.0
4536,2018-07-18,north,1704.0
4537,2018-07-18,south,1656.0
4538,2018-07-18,east,1530.0
4539,2018-07-18,west,1659.0
4564,2018-07-19,north,1620.0
4565,2018-07-19,south,1725.0
4566,2018-07-19,east,1704.0
4567,2018-07-19,west,1527.0
4592,2018-07-20,north,1731.0
4593,2018-07-20,south,1761.0
4594,2018-07-20,east,1644.0
4595,2018-07-20,west,1653.0
4620,2018-07-21,north,1725.0
4621,2018-07-21,south,1698.0
4622,2018-07-21,east,1662.0
4623,2018-07-21,west,1656.0
4648,2018-07-22,north,1608.0
4649,2018-07-22,south,1773.0
4650,2018-07-22,east,1659.0
4651,2018-07-22,west,1647.0
4676,2018-07-23,north,1638.0
4677,2018-07-23,south,1623.0
4678,2018-07-23,east,1719.0
4679,2018-07-23,west,1629.0
4704,2018-07-24,north,1701.0
4705,2018-07-24,south,1725.0
4706,2018-07-24,east,1752.0
4707,2018-07-24,west,1557.0
4732,2018-07-25,north,1500.0
4733,2018-07-25,south,1707.0
4734,2018-07-25,east,1533.0
4735,2018-07-25,west,1737.0
4760,2018-07-26,north,1605.0
4761,2018-07-26,south,1767.0
4762,2018-07-26,east,1551.0
4763,2018-07-26,west,1521.0
4788,2018-07-27,north,1659.0
4789,2018-07-27,south,1611.0
4790,2018-07-27,east,1695.0
4791,2018-07-27,west,1632.0
4816,2018-07-28,north,1515.0
4817,2018-07-28,south,1584.0
4818,2018-07-28,east,1596.0
4819,2018-07-28,west,1743.0
4844,2018-07-29,north,1791.0
4845,2018-07-29,south,1599.0
4846,2018-07-29,east,1749.0
4847,2018-07-29,west,1755.0
4872,2018-07-30,north,1755.0
4873,2018-07-30,south,1662.0
4874,2018-07-30,east,1509.0
4875,2018-07-30,west,1776.0
4900,2018-07-31,north,1695.0
4901,2018-07-31,south,1707.0
4902,2018-07-31,east,1548.0
4903,2018-07-31,west,1578.0
4928,2018-08-01,north,1563.0
4929,2018-08-01,south,1674.0
4930,2018-08-01,east,1554.0
4931,2018-08-01,west,1665.0
4956,2018-08-02,north,1527.0
4957,2018-08-02,south,1617.0
4958,2018-08-02,east,1548.0
4959,2018-08-02,west,1671.0
4984,2018-08-03,north,1668.0
4985,2018-08-03,south,1671.0
4986,2018-08-03,east,1719.0
4987,2018-08-03,west,1668.0
5012,2018-08-04,north,1536.0
5013,2018-08-04,south,1734.0
5014,2018-08-04,east,1743.0
5015,2018-08-04,west,1776.0
5040,2018-08-05,north,1650.0
5041,2018-08-05,south,1599.0
5042,2018-08-05,east,1614.0
5043,2018-08-05,west,1773.0
5068,2018-08-06,north,1611.0
5069,2018-08-06,south,1605.0
5070,2018-08-06,east,1554.0
5071,2018-08-06,west,1788.0
5096,2018-08-07,north,1566.0
5097,2018-08-07,south,1560.0
5098,2018-08-07,east,1551.0
5099,2018-08-07,west,1626.0
5124,2018-08-08,north,1665.0
5125,2018-08-08,south,1539.0
5126,2018-08-08,east,1506.0
5127,2018-08-08,west,1617.0
5152,2018-08-09,north,1797.0
5153,2018-08-09,south,1794.0
5154,2018-08-09,east,1620.0
5155,2018-08-09,west,1683.0
5180,2018-08-10,north,1620.0
5181,2018-08-10,south,1554.0
5182,2018-08-10,east,1701.0
5183,2018-08-10,west,1785.0
5208,2018-08-11,north,1689.0
5209,2018-08-11,south,1650.0
5210,2018-08-11,east,1533.0
5211,2018-08-11,west,1587.0
5236,2018-08-12,north,1509.0
5237,2018-08-12,south,1743.0
5238,2018-08-12,east,1719.0
5239,2018-08-12,west,1743.0
5264,2018-08-13,north,1701.0
5265,2018-08-13,south,1629.0
5266,2018-08-13,east,1638.0
5267,2018-08-13,west,1611.0
5292,2018-08-14,north,1623.0
5293,2018-08-14,south,1635.0
5294,2018-08-14,east,1716.0
5295,2018-08-14,west,1707.0
5320,2018-08-15,north,1602.0
5321,2018-08-15,south,1542.0
5322,2018-08-15,east,1800.0
5323,2018-08-15,west,1734.0
5348,2018-08-16,north,1788.0
5349,2018-08-16,south,1614.0
5350,2018-08-16,east,1743.0
5351,2018-08-16,west,1770.0
5376,2018-08-17,north,1776.0
5377,2018-08-17,south,1713.0
5378,2018-08-17,east,1623.0
5379,2018-08-17,west,1752.0
5404,2018-08-18,north,1527.0
5405,2018-08-18,south,1776.0
5406,2018-08-18,east,1689.0
5407,2018-08-18,west,1713.0
5432,2018-08-19,north,1509.0
5433,2018-08-19,south,1575.0
5434,2018-08-19,east,1701.0
5435,2018-08-19,west,1575.0
5460,2018-08-20,north,1581.0
5461,2018-08-20,south,1779.0
5462,2018-08-20,east,1662.0
5463,2018-08-20,west,1506.0
5488,2018-08-21,north,1794.0
5489,2018-08-21,south,1659.0
5490,2018-08-21,east,1644.0
5491,2018-08-21,west,1707.0
5516,2018-08-22,north,1704.0
5517,2018-08-22,south,1500.0
5518,2018-08-22,east,1539.0
5519,2018-08-22,west,1800.0
5544,2018-08-23,north,1557.0
5545,2018-08-23,south,1554.0
5546,2018-08-23,east,1788.0
5547,2018-08-23,west,1563.0
5572,2018-08-24,north,1548.0
5573,2018-08-24,south,1560.0
5574,2018-08-24,east,1734.0
5575,2018-08-24,west,1644.0
5600,2018-08-25,north,1629.0
5601,2018-08-25,south,1677.0
5602,2018-08-25,east,1764.0
5603,2018-08-25,west,1515.0
5628,2018-08-26,north,1542.0
5629,2018-08-26,south,1545.0
5630,2018-08-26,east,1668.0
5631,2018-08-26,west,1584.0
5656,2018-08-27,north,1605.0
5657,2018-08-27,south,1740.0
5658,2018-08-27,east,1602.0
5659,2018-08-27,west,1509.0
5684,2018-08-28,north,1566.0
5685,2018-08-28,south,1680.0
5686,2018-08-28,east,1656.0
5687,2018-08-28,west,1722.0
5712,2018-08-29,north,1662.0
5713,2018-08-29,south,1794.0
5714,2018-08-29,east,1734.0
5715,2018-08-29,west,1647.0
5740,2018-08-30,north,1635.0
5741,2018-08-30,south,1743.0
5742,2018-08-30,east,1665.0
5743,2018-08-30,west,1770.0
5768,2018-08-31,north,1749.0
5769,2018-08-31,south,1695.0
5770,2018-08-31,east,1644.0
5771,2018-08-31,west,1602.0
5796,2018-09-01,north,1560.0
5797,2018-09-01,south,1500.0
5798,2018-09-01,east,1719.0
